"stop_id","suspect_race_description","demeanor_of_person_stopped"
"2019-11558",BLACK,NORMAL
"2019-11559",WHITE HISPANIC,DISMISSIVE AND ARROGANT POSSIBLY COMBATIVE)
"2019-11560",BLACK,COOPERATIVE
"2019-11561",WHITE,CALM
"2019-11565",WHITE HISPANIC,CALM
"2019-11566",ASIAN / PACIFIC ISLANDER,CALM
"2019-11567",ASIAN / PACIFIC ISLANDER,CALM
"2019-11568",WHITE HISPANIC,CALM
"2019-11569",BLACK HISPANIC,NORMAL
"2019-11571",BLACK HISPANIC,NORMAL
"2019-11572",WHITE,CALM
"2019-11573",BLACK,"JITTERY, JUMPY"
"2019-11574",BLACK,"JUMPY, JITTERY"
"2019-11575",WHITE HISPANIC,CALM
"2019-11576",WHITE HISPANIC,CALM
"2019-11577",BLACK,CALM
"2019-11578",BLACK,CALM
"2019-11579",WHITE HISPANIC,RESPECTFUL/CALM
"2019-11580",WHITE,CALM
"2019-11582",WHITE,NERVIOUS
"2019-11583",BLACK,"NERVOUS,BREATHING HEAVY,TALKING FAST"
"2019-11584",WHITE,CALM
"2019-11585",WHITE,CALM
"2019-11586",WHITE,CALM
"2019-11587",WHITE HISPANIC,NORMAL
"2019-11588",WHITE HISPANIC,NORMAL
"2019-11589",WHITE HISPANIC,N/A
"2019-11590",WHITE,NA
"2019-11591",BLACK,UPSET
"2019-11592",BLACK,CALM
"2019-11593",BLACK,CALM
"2019-11594",BLACK,COMPLIANT
"2019-11595",BLACK HISPANIC,CALM
"2019-11596",BLACK,CALM
"2019-11597",BLACK,CALM
"2019-11598",BLACK,NERVOUS NOT COMPLIANT
"2019-11599",BLACK,CONFUSED
"2019-11600",BLACK,CONFUSED
"2019-11601",BLACK,UNDERSTANDING AND PLEASANT
"2019-11602",BLACK,UNDERSTANDING AND PLEASANT
"2019-11603",BLACK HISPANIC,"DELIBERTALY EVASIVE, THEN COMPLIANT AND UNDERSTANDING"
"2019-11604",BLACK,"CALM, COOPERATIVE"
"2019-11605",BLACK,"CALM, POLITE, UNDERSTANDING"
"2019-11606",BLACK,CALM
"2019-11607",WHITE HISPANIC,COMPLIANT
"2019-11608",WHITE HISPANIC,COMPLIANT
"2019-11609",BLACK,ANGRY
"2019-11610",WHITE,NORMAL
"2019-11611",WHITE,NORMAL
"2019-11612",BLACK,CALM
"2019-11613",WHITE,NORMAL
"2019-11615",WHITE,NORMAL
"2019-11616","",POLITE
"2019-11619",BLACK,COMPLIENT
"2019-11620",BLACK,CALM AND COMPLIANT
"2019-11621",WHITE HISPANIC,CALM
"2019-11622",BLACK,"CALM, COMPLIANT"
"2019-11623",BLACK,CALM
"2019-11624",WHITE,NERVOUS
"2019-11625",WHITE,NERVOUS
"2019-11626",WHITE,EVASIVE
"2019-11627",WHITE,EVASIVE
"2019-11628",ASIAN / PACIFIC ISLANDER,IRATE
"2019-11629",WHITE HISPANIC,CALM
"2019-11630",ASIAN / PACIFIC ISLANDER,CALM
"2019-11631",BLACK,CALM
"2019-11633",WHITE HISPANIC,NERVOUS
"2019-11634",ASIAN / PACIFIC ISLANDER,"CALM, UNDERSTANDING"
"2019-11635",ASIAN / PACIFIC ISLANDER,CALM AND UNDERSTANDING
"2019-11636",ASIAN / PACIFIC ISLANDER,UPSET THEN UNDERSTANDING
"2019-11637",BLACK,CALM
"2019-11638",WHITE,CALM
"2019-11639",ASIAN / PACIFIC ISLANDER,ANXIOUS AND OUT OF BREATH
"2019-11640",ASIAN / PACIFIC ISLANDER,CALM
"2019-11641",WHITE,"AGITATED, NERVOUS, DISRESPECTFUL"
"2019-11642",WHITE,AGRESSIVE AND DISRESPECTFUL
"2019-11644",BLACK,CALM
"2019-11645",BLACK,NERVOUS
"2019-11646",BLACK,MAD
"2019-11647",BLACK,EMOTIONALLY DISTURBED
"2019-11648",WHITE,NERVOUS
"2019-11649",WHITE,NERVOUS
"2019-11650",WHITE HISPANIC,NERVOUS AND SWEATY
"2019-11651",BLACK HISPANIC,NERVOUS/SWEATY
"2019-11652",WHITE,QUIET
"2019-11653",BLACK,QUIET
"2019-11654",BLACK,CALM
"2019-11655",WHITE HISPANIC,CALM
"2019-11656",BLACK,NERVOUS
"2019-11657",ASIAN / PACIFIC ISLANDER,NORMAL
"2019-11658",BLACK,NORMAL
"2019-11659",BLACK,CALM
"2019-11660",BLACK,ANNOYED
"2019-11661",BLACK,CALM
"2019-11662",BLACK,NERVOUS
"2019-11663",BLACK,NERVOUS
"2019-11664",BLACK,NERVOUS
"2019-11665",BLACK,"COOPERATIVE, RESPONSIVE"
"2019-11666",BLACK,UNDERSTANDING
"2019-11667",WHITE,CALM
"2019-11668",WHITE HISPANIC,SUPRISED
"2019-11669",BLACK,CALM
"2019-11670",BLACK,CALM
"2019-11671",BLACK,CALM
"2019-11672",WHITE HISPANIC,CALM
"2019-11673",BLACK,NERVOUS
"2019-11674",BLACK,COOPERATIVE AND UNDERSTANDING
"2019-11679",BLACK,"JUMPY, FLED"
"2019-11680",BLACK,CALM
"2019-11681",BLACK,AGITATED
"2019-11682",BLACK,"JUMPY, FLED"
"2019-11683",BLACK,N/A
"2019-11684",BLACK,UPSET/UNCOOPERATIVE
"2019-11685",BLACK,"UNCOOPERATIVE, IRATE"
"2019-11686",WHITE HISPANIC,NERVOUS
"2019-11687",WHITE,NERVOUS
"2019-11688",BLACK,NERVOUS OUT OF BREATH
"2019-11689",WHITE,"CONFRONTATIONAL, UNCOOPERATIVE"
"2019-11690",BLACK,"DISRESPECTFUL, CONFRONTATIONAL, UNCOOPERATIVE"
"2019-11691",BLACK HISPANIC,AGGRESIVE
"2019-11692",WHITE,UPSET
"2019-11693",BLACK,"SWEATY, SHORTNESS OF BREATH"
"2019-11694",BLACK,ANNOYED/CALM
"2019-11695",BLACK,NERVOUS
"2019-11696",BLACK,NERVOUS
"2019-11697",BLACK,DISORDERLY
"2019-11698",BLACK,ANGRY
"2019-11699",BLACK,CALM
"2019-11700",BLACK,CALM
"2019-11701",BLACK,CALM
"2019-11706",WHITE HISPANIC,DISORIENTED
"2019-11707",BLACK,EDP
"2019-11708",BLACK HISPANIC,COOPERATIVE
"2019-11709",WHITE HISPANIC,COOPERATIVE
"2019-11710",WHITE HISPANIC,COOPERATIVE
"2019-11711",BLACK,NERVOUS AND ANNOYED
"2019-11712",BLACK,CALM
"2019-11713",BLACK,ANNOYED
"2019-11714",BLACK,CALM
"2019-11715",BLACK,NORMAL
"2019-11717",BLACK,NERVOUS
"2019-11718",BLACK,AGITATED
"2019-11719",ASIAN / PACIFIC ISLANDER,CALM
"2019-11720",ASIAN / PACIFIC ISLANDER,CALM
"2019-11721",BLACK,COOPERATIVE
"2019-11722",BLACK,CALM
"2019-11723",WHITE HISPANIC,UNDERSTANDING
"2019-11724",WHITE HISPANIC,UNDERSTANDING
"2019-11725",WHITE HISPANIC,CALM
"2019-11726",BLACK,CALM
"2019-11727",WHITE,"NORMAL, VERY UNDERSTANDING OF STOP"
"2019-11728",BLACK,CALM
"2019-11729",BLACK HISPANIC,CALM
"2019-11730",WHITE,DEFENSIVE
"2019-11731",WHITE HISPANIC,QUIET
"2019-11732",WHITE HISPANIC,QUIET
"2019-11733",WHITE,CALM
"2019-11734",ASIAN / PACIFIC ISLANDER,CALM
"2019-11735",BLACK,COMPLYING
"2019-11736",BLACK HISPANIC,COOPERATIVE
"2019-11737",BLACK HISPANIC,COOPERATIVE
"2019-11740",WHITE HISPANIC,CALM
"2019-11741",WHITE HISPANIC,COORPERATIVE
"2019-11742",WHITE HISPANIC,COOPERATIVE
"2019-11743",BLACK,CALM
"2019-11744",WHITE HISPANIC,NERVOUS AND APOLOGETIC
"2019-11745",WHITE,UPSET
"2019-11746",WHITE HISPANIC,COMPLIANT
"2019-11747",BLACK,CALM
"2019-11748",WHITE HISPANIC,ANNOYED
"2019-11749",WHITE HISPANIC,"ANGRY, AGGITAED"
"2019-11755",WHITE HISPANIC,NERVOUS
"2019-11756",WHITE,CALM
"2019-11759",BLACK,CALM
"2019-11760",WHITE,APPEARED UPSET
"2019-11761",BLACK,CALM
"2019-11762",WHITE HISPANIC,AGITATED
"2019-11763",BLACK HISPANIC,CALM
"2019-11764",WHITE,CALM
"2019-11766",WHITE HISPANIC,"CALM, COMMUNICATIVE, RESPECTFUL"
"2019-11767",BLACK HISPANIC,"CALM, COMMUNICATIVE"
"2019-11768",BLACK,AGGITATED
"2019-11769",BLACK HISPANIC,CALM
"2019-11770",BLACK HISPANIC,ASKING QUESTION
"2019-11771",WHITE HISPANIC,"AGGITATED, ANXIOUS"
"2019-11772",WHITE HISPANIC,CALM
"2019-11773",WHITE,BELLIGERENT
"2019-11774",BLACK HISPANIC,CONFUSED
"2019-11775",WHITE HISPANIC,NERVOUS
"2019-11776",WHITE HISPANIC,UPSET
"2019-11777",WHITE HISPANIC,UPSET
"2019-11778",WHITE HISPANIC,COMBATIVE
"2019-11779",WHITE HISPANIC,CALM
"2019-11780",BLACK,CALM
"2019-11781",WHITE HISPANIC,CALM
"2019-11782",BLACK,CALM
"2019-11783",WHITE HISPANIC,NERVOUS
"2019-11784",WHITE HISPANIC,CALM AND SOMEWHAT UNDERSTANDING.
"2019-11785",WHITE,NORMAL
"2019-11786",BLACK,UPSET
"2019-11787",BLACK,CONFUSED
"2019-11788",BLACK,CALM
"2019-11789",BLACK HISPANIC,CALM
"2019-11790",WHITE HISPANIC,"CALM, RESPECTFUL"
"2019-11791",WHITE HISPANIC,COMPLIANT
"2019-11792",BLACK HISPANIC,NERVOUS
"2019-11793",WHITE,NORMAL
"2019-11794",WHITE HISPANIC,NORMAL
"2019-11795",BLACK HISPANIC,CALM
"2019-11796",WHITE HISPANIC,NERVOUS
"2019-11797",WHITE,HIGHLY UNCOOPERATIVE
"2019-11798",BLACK HISPANIC,SCARED
"2019-11799",WHITE HISPANIC,SCARED
"2019-11806",BLACK,IRRATE
"2019-11807",BLACK HISPANIC,HAPPY
"2019-11808",WHITE HISPANIC,CALM
"2019-11809",WHITE HISPANIC,CALM
"2019-11811",WHITE,NORMAL
"2019-11812",WHITE HISPANIC,NORMAL
"2019-11813",WHITE,NERVOUS
"2019-11814",WHITE,CALM
"2019-11815",BLACK HISPANIC,UPSET
"2019-11816",BLACK HISPANIC,UPSET
"2019-11817",BLACK HISPANIC,UPSET
"2019-11818",ASIAN / PACIFIC ISLANDER,CALM
"2019-11819",WHITE HISPANIC,SUPRISED
"2019-11820",WHITE HISPANIC,"CALM, COMPLIANT"
"2019-11821",BLACK,NORMAL
"2019-11822",BLACK,NORMAL
"2019-11823",BLACK HISPANIC,CALM
"2019-11824",BLACK,NORMAL
"2019-11825",WHITE HISPANIC,UNDERSTANDING
"2019-11826",BLACK,ANGRY
"2019-11827",ASIAN / PACIFIC ISLANDER,NORMAL
"2019-11828",WHITE,NORMAL
"2019-11829",BLACK,CALM
"2019-11830",ASIAN / PACIFIC ISLANDER,NERVOUS
"2019-11831",BLACK HISPANIC,CALM
"2019-11832",WHITE,CALM
"2019-11833",BLACK,CALM
"2019-11834",BLACK,CALM
"2019-11835",BLACK,NORMAL
"2019-11836",WHITE HISPANIC,CALM
"2019-11837",BLACK,IRATE
"2019-11838",BLACK,CALM
"2019-11839",WHITE HISPANIC,PLEASANT
"2019-11840",BLACK,COOPERATIVE
"2019-11843",BLACK,ANGRY
"2019-11844",WHITE,CALM
"2019-11845",ASIAN / PACIFIC ISLANDER,ANGRY
"2019-11846",WHITE HISPANIC,CALM
"2019-11847",WHITE HISPANIC,NORMAL
"2019-11848",BLACK,AGITATED
"2019-11849",BLACK,CALM
"2019-11850",ASIAN / PACIFIC ISLANDER,NERVOUS
"2019-11851",BLACK HISPANIC,CALM
"2019-11852",BLACK HISPANIC,CALM
"2019-11854",BLACK,CALM
"2019-11855",BLACK,CALM
"2019-11856",ASIAN / PACIFIC ISLANDER,COMPLIANT
"2019-11857",BLACK,CALM
"2019-11858",WHITE,UNDERSTANDING
"2019-11859",BLACK,CALM
"2019-11860",BLACK HISPANIC,NORMAL
"2019-11861",BLACK,N/A
"2019-11862",BLACK HISPANIC,CALM
"2019-11863",BLACK,CALM
"2019-11864",WHITE,NERVOUS
"2019-11865",BLACK,ANGRY
"2019-11866",ASIAN / PACIFIC ISLANDER,NERVOUS
"2019-11867",BLACK,UPSET
"2019-11868",BLACK HISPANIC,EXCITED
"2019-11869",WHITE,CALM
"2019-11870",WHITE HISPANIC,CALM
"2019-11871",BLACK,RELAXED
"2019-11872",BLACK,ARGUMENTATIVE
"2019-11873",WHITE HISPANIC,CALM
"2019-11874",WHITE HISPANIC,"NERVOUS, ANXIOUS"
"2019-11875",WHITE HISPANIC,NERVOUS
"2019-11876",WHITE HISPANIC,COOPERATIVE
"2019-11877",BLACK HISPANIC,COOPERATIVE
"2019-11878",WHITE HISPANIC,NERVOUS
"2019-11879",BLACK,AGGITATED
"2019-11880",BLACK HISPANIC,AGITATED
"2019-11881",BLACK,UPSET
"2019-11882",WHITE HISPANIC,DISORIENTED
"2019-11883",WHITE,IRATE
"2019-11884",WHITE,ANXIOUS
"2019-11885",BLACK HISPANIC,NORMAL
"2019-11886",BLACK,ANNOYED
"2019-11887",ASIAN / PACIFIC ISLANDER,COOPERATIVE
"2019-11888",AMERICAN INDIAN/ALASKAN N,COOPERATIVE
"2019-11890",ASIAN / PACIFIC ISLANDER,INTOX/AGITATED
"2019-11891",WHITE,COOPERATIVE
"2019-11892",ASIAN / PACIFIC ISLANDER,QUIET
"2019-11893",WHITE,CALM
"2019-11894",BLACK,APPARENTLY NORMAL
"2019-11895",ASIAN / PACIFIC ISLANDER,SAD
"2019-11896",WHITE HISPANIC,CALM
"2019-11897",BLACK,INITIALLY UNCOOPERATIVE
"2019-11898",BLACK HISPANIC,CALM
"2019-11899",WHITE HISPANIC,AGITATED
"2019-11900",ASIAN / PACIFIC ISLANDER,INTOX
"2019-11901",WHITE HISPANIC,CALM
"2019-11902",WHITE HISPANIC,NORMAL
"2019-11903",WHITE,NERVOUS
"2019-11904",BLACK HISPANIC,CALM
"2019-11905",WHITE,CALM
"2019-11906",BLACK,ERRATIC
"2019-11907",BLACK,CALM
"2019-11908",ASIAN / PACIFIC ISLANDER,"NERVOUS, BREATHING HEAVILY"
"2019-11909",WHITE HISPANIC,NERVOUS
"2019-11910",BLACK,CALM
"2019-11911",BLACK,NORMAL
"2019-11912",WHITE HISPANIC,ANNOYED
"2019-11913",ASIAN / PACIFIC ISLANDER,CALM
"2019-11914",BLACK,CALM
"2019-11915",WHITE HISPANIC,CALM
"2019-11916",BLACK,IRATE
"2019-11917",WHITE HISPANIC,NERVOUS
"2019-11918",WHITE HISPANIC,NERVOUS
"2019-11919",WHITE HISPANIC,NERVOUS
"2019-11920",BLACK,FLED
"2019-11921",WHITE,CALM
"2019-11922",WHITE HISPANIC,CALM
"2019-11923",WHITE,CALM
"2019-11924",WHITE HISPANIC,CALM
"2019-11925",BLACK,CALM
"2019-11926",WHITE,CALM
"2019-11927",ASIAN / PACIFIC ISLANDER,CALM
"2019-11928",WHITE,COMPLIANT
"2019-11929",ASIAN / PACIFIC ISLANDER,NORMAL
"2019-11930",WHITE,NERVOUS
"2019-11931",WHITE HISPANIC,NORMAL
"2019-11932",WHITE HISPANIC,NORMAL
"2019-11933",WHITE HISPANIC,NORMAL
"2019-11934",WHITE HISPANIC,CALM
"2019-11935",ASIAN / PACIFIC ISLANDER,CLAM
"2019-11936",WHITE HISPANIC,UPSET
"2019-11937",WHITE HISPANIC,ANGRY
"2019-11938",ASIAN / PACIFIC ISLANDER,CALM
"2019-11939",BLACK,COMPLIANT
"2019-11941",WHITE,NERVOUS
"2019-11942",ASIAN / PACIFIC ISLANDER,CALM AND COOPERATIVE
"2019-11943",WHITE,EXCITED
"2019-11944",WHITE,EXCITED
"2019-11945",WHITE HISPANIC,CALM
"2019-11946",WHITE HISPANIC,NORMAL
"2019-11947",WHITE HISPANIC,CALM
"2019-11948",WHITE HISPANIC,CALM
"2019-11949",WHITE HISPANIC,NERVOUS
"2019-11950",WHITE HISPANIC,MAD
"2019-11951",WHITE HISPANIC,NERVOUS
"2019-11952",BLACK,ANNOYED
"2019-11953",WHITE HISPANIC,DRUNK
"2019-11954",WHITE,SCARED
"2019-11956",WHITE HISPANIC,VERBALLY COMABTIVE
"2019-11957",BLACK,CALM
"2019-11958",BLACK HISPANIC,CALM AND COOPERATIVE
"2019-11959",WHITE HISPANIC,SCARED
"2019-11960",WHITE HISPANIC,SCARED
"2019-11961",WHITE HISPANIC,SCARED
"2019-11962",WHITE,AP NORMAL
"2019-11963",BLACK,NERVOUS
"2019-11964",WHITE,BELLIGERANT
"2019-11965",WHITE HISPANIC,NERVOUS/UNCOOPERATIVE
"2019-11966",WHITE HISPANIC,UPSET
"2019-11967",WHITE HISPANIC,NERVOUS
"2019-11968",BLACK,COOPERATIVE
"2019-12066",WHITE HISPANIC,NORMAL
"2019-11970",WHITE HISPANIC,NORMAL
"2019-11971",ASIAN / PACIFIC ISLANDER,CALM
"2019-11972",WHITE,CLAIM/QUIET
"2019-11973",WHITE HISPANIC,NORMAL
"2019-11974",WHITE HISPANIC,COMBATIVE AND ANNOYED
"2019-11975",WHITE HISPANIC,COMBATIVE AND ANNOYED
"2019-11976",WHITE HISPANIC,COMBATIVE AND ANNOYED
"2019-11977",WHITE HISPANIC,AGITATED
"2019-11978",WHITE HISPANIC,AGITATED
"2019-11979",BLACK,AGITATED
"2019-11980",BLACK,SLIGHTLY AGGITATED
"2019-11981",WHITE HISPANIC,CALM
"2019-11982",WHITE HISPANIC,NORMAL
"2019-11983",WHITE HISPANIC,"CALM, COOPERATIVE"
"2019-11984",WHITE HISPANIC,"CALM, COOPERATIVE."
"2019-11985",WHITE HISPANIC,CALM
"2019-11986",WHITE HISPANIC,CALM
"2019-11987",WHITE HISPANIC,CALM
"2019-11988",WHITE HISPANIC,"ATTEMPTED TO FLEE LOCATION, FLAILING ARMS"
"2019-11989",WHITE HISPANIC,INTOX TALKATIVE
"2019-11990",WHITE HISPANIC,NORMAL
"2019-11991",WHITE HISPANIC,NORMAL
"2019-12429",BLACK,CALM
"2019-11992",BLACK,"HOSTILE, IRATE"
"2019-11993",WHITE HISPANIC,ANXIOUS
"2019-11994",WHITE HISPANIC,APPRENTLEY NORMAL
"2019-11995",WHITE HISPANIC,CALM
"2019-11996",WHITE HISPANIC,NERVOUS
"2019-11997",WHITE HISPANIC,NERVOUS
"2019-11998",WHITE HISPANIC,NERVOUS
"2019-11999",WHITE HISPANIC,TALKATIVE
"2019-12000",WHITE HISPANIC,CALM
"2019-12003",WHITE HISPANIC,ANNOYED
"2019-12004",BLACK HISPANIC,CRYING
"2019-12005",BLACK,CALM
"2019-12006",BLACK HISPANIC,"ANGRY, NERVOUS, UPSET"
"2019-12007",BLACK HISPANIC,"ANGRY, UPSET"
"2019-12008",BLACK,INTOXICATED
"2019-12010",WHITE HISPANIC,CALM
"2019-12013",WHITE HISPANIC,COOPERATIVE
"2019-12014",WHITE HISPANIC,COMPLIANT
"2019-12015",WHITE HISPANIC,CONTENT
"2019-12016",BLACK,NORMAL
"2019-12017",BLACK,COOPERATIVE
"2019-12018",WHITE HISPANIC,NERVOUS
"2019-12019",BLACK,UPSET
"2019-12020",BLACK,SUSPICIOUS
"2019-12021",BLACK,SUSPICIOUS
"2019-12024",BLACK,COOPERATIVE
"2019-12025",WHITE HISPANIC,COOPERATIVE
"2019-12027",BLACK HISPANIC,COMPLIANT
"2019-12028",BLACK HISPANIC,UNDERSTANDING
"2019-12029",BLACK,COMPLIANT
"2019-12030",WHITE HISPANIC,"ANXIOUS, NERVOUS, TRYING TO WALK AWAY"
"2019-12031",WHITE,COOPERATIVE AND UNDERSTANDING
"2019-12032",WHITE,COOPERATIVE
"2019-12033",WHITE HISPANIC,"ANGRY, UPSET"
"2019-12034",BLACK,NERVOUS
"2019-12035",WHITE,NERVOUS
"2019-12036",WHITE,NERVOUS
"2019-12038",WHITE HISPANIC,UNDERSTANDING AND CALM
"2019-12039",BLACK HISPANIC,CALM
"2019-12040",WHITE HISPANIC,CALM
"2019-12041",WHITE HISPANIC,"POLITE, COOPERATIVE"
"2019-12042",WHITE HISPANIC,ANNOYED
"2019-12043",WHITE HISPANIC,CALM
"2019-12044",WHITE HISPANIC,CALM
"2019-12045",WHITE HISPANIC,INTOX
"2019-12046",WHITE HISPANIC,CALM
"2019-12047",WHITE HISPANIC,NERVOUS AND SWEATING
"2019-12048",WHITE HISPANIC,NERVOUS
"2019-12049",WHITE,NORMAL
"2019-12050",WHITE HISPANIC,UNDERSTANDING
"2019-12051",WHITE HISPANIC,UNDERSTANDING
"2019-12052",BLACK,CALM
"2019-12053",ASIAN / PACIFIC ISLANDER,AGGITATED
"2019-12054",BLACK,PATIENT
"2019-12055",BLACK,FRUSTRATED
"2019-12057",ASIAN / PACIFIC ISLANDER,AP NORMAL
"2019-12059",WHITE,CONFUSED/NERVOUS
"2019-12060",WHITE HISPANIC,AP NORMAL
"2019-12061",WHITE HISPANIC,ANNOYED
"2019-12062",ASIAN / PACIFIC ISLANDER,CALM
"2019-12065",WHITE HISPANIC,CONFUSED
"2019-12067",ASIAN / PACIFIC ISLANDER,"NERVOUS, AGITATED"
"2019-12068",BLACK,NERVOUS
"2019-12069",WHITE,NERVOUS
"2019-12070",BLACK,COMPLIANT
"2019-12071",WHITE HISPANIC,NERVOUS
"2019-12072",WHITE HISPANIC,COOPERATIVE
"2019-12073",ASIAN / PACIFIC ISLANDER,CALM
"2019-12074",ASIAN / PACIFIC ISLANDER,CALM
"2019-12075",WHITE HISPANIC,HIGHLY AGITATED
"2019-12076",WHITE HISPANIC,UPSET
"2019-12077",WHITE HISPANIC,"NERVOUS, ANXIOUS"
"2019-12078",WHITE HISPANIC,NORMAL
"2019-12079",BLACK HISPANIC,NORMAL
"2019-12080",WHITE,CALM
"2019-12081",WHITE HISPANIC,COMPLIANT
"2019-12082",BLACK HISPANIC,NORMAL
"2019-12083",WHITE HISPANIC,COOPERATIVE
"2019-12084",WHITE HISPANIC,ANGERY
"2019-12085",ASIAN / PACIFIC ISLANDER,CALM
"2019-12086",WHITE HISPANIC,OUT OF BREATH/NERVOUS
"2019-12087",WHITE HISPANIC,NERVOUS
"2019-12088",BLACK HISPANIC,NERVOUS
"2019-12089",WHITE HISPANIC,COMBATIVE
"2019-12090",BLACK HISPANIC,COOPERATIVE
"2019-12091",WHITE,NERVOUS
"2019-12092",WHITE HISPANIC,CALM/CONFUSED
"2019-12093",WHITE HISPANIC,CALM
"2019-12094",WHITE HISPANIC,UPSET
"2019-12095",WHITE HISPANIC,"NERVOUS, SWEATING, ANXIOUS"
"2019-12096",ASIAN / PACIFIC ISLANDER,"NERVOUS,SWEATING,ANXIOUS"
"2019-12097",ASIAN / PACIFIC ISLANDER,"NERVOUS, SWEATING, ANXIOUS"
"2019-12098",WHITE,"NERVOUS, DISORIENTED"
"2019-12100",BLACK HISPANIC,QUESTIONING THE STOP
"2019-12101",BLACK HISPANIC,QUESTIONING THE STOP
"2019-12102",WHITE HISPANIC,APPARENTLEY NORMAL
"2019-12104",WHITE HISPANIC,NORMAL
"2019-12106",BLACK,NORMAL
"2019-12107",WHITE HISPANIC,CALM
"2019-12108",WHITE HISPANIC,NORMAL
"2019-12109",WHITE HISPANIC,CALM
"2019-12112",BLACK,CONFUSED
"2019-12113",WHITE HISPANIC,ANNOYED
"2019-12114",WHITE HISPANIC,OUT OF BREATH FROM RUNNING
"2019-12115",BLACK,NERVOUS
"2019-12116",WHITE HISPANIC,NERVOUS
"2019-12118",WHITE HISPANIC,CONTENT
"2019-12119",WHITE HISPANIC,NERVOUS
"2019-12120",WHITE,CALM
"2019-12121",BLACK,SATISFIED
"2019-12122",WHITE HISPANIC,"POLITE, COOPERATIVE"
"2019-12123",ASIAN / PACIFIC ISLANDER,NERVOUS
"2019-12124",WHITE HISPANIC,COOPERATIVE
"2019-12126",WHITE HISPANIC,CALM
"2019-12127",WHITE,UPSET
"2019-12128",WHITE HISPANIC,CALM
"2019-12129",BLACK HISPANIC,CALM
"2019-12130",WHITE HISPANIC,CALM
"2019-12131",BLACK,IRRITATED
"2019-12132",BLACK,CALM
"2019-12133",BLACK,CALM
"2019-12135",WHITE,CALM
"2019-12136",WHITE HISPANIC,CALM
"2019-12137",WHITE,ANNOYED
"2019-12138",WHITE HISPANIC,CALM
"2019-12139",ASIAN / PACIFIC ISLANDER,HAPPY
"2019-12140",ASIAN / PACIFIC ISLANDER,HAPPY
"2019-12141",WHITE HISPANIC,UNDERSTANDING AND COOPERATIVE
"2019-12142",WHITE HISPANIC,ANNOYED
"2019-12143",WHITE,"CALM, COMPLYING"
"2019-12144",WHITE,PLEASANT.
"2019-12145",WHITE,PLEASANT
"2019-12146",WHITE,CALM
"2019-12147",WHITE HISPANIC,HAPPY
"2019-12148",WHITE HISPANIC,UNDERSTANDING
"2019-12149",BLACK,UPSET
"2019-12150",BLACK,CALM
"2019-12151",BLACK,NORMAL
"2019-12152",BLACK,NORMAL
"2019-12153",ASIAN / PACIFIC ISLANDER,CALM
"2019-12154",ASIAN / PACIFIC ISLANDER,CALM
"2019-12155",ASIAN / PACIFIC ISLANDER,CALM
"2019-12156",ASIAN / PACIFIC ISLANDER,CALM
"2019-12157",ASIAN / PACIFIC ISLANDER,CALM
"2019-12158",ASIAN / PACIFIC ISLANDER,CALM
"2019-12159",BLACK,SUPRISED
"2019-12160",WHITE,ANXIOUS
"2019-12161",WHITE,UPSET
"2019-12162",WHITE HISPANIC,CALM
"2019-12163",ASIAN / PACIFIC ISLANDER,CALM
"2019-12164",ASIAN / PACIFIC ISLANDER,CALM
"2019-12165",ASIAN / PACIFIC ISLANDER,CALM
"2019-12166",BLACK HISPANIC,CALM
"2019-12167",ASIAN / PACIFIC ISLANDER,NERVOUS
"2019-12168",WHITE HISPANIC,APPARENTLY NORMAL
"2019-12169",WHITE HISPANIC,APPARENTLY NORMAL
"2019-12170",BLACK,APOLOGETIC
"2019-12171",WHITE,NERVOUS
"2019-12172",BLACK,NERVOUS
"2019-12173",BLACK,NERVOUS
"2019-12174",WHITE,NERVOUS
"2019-12175",ASIAN / PACIFIC ISLANDER,COMPLIANT
"2019-12176",ASIAN / PACIFIC ISLANDER,COMPLIANT
"2019-12177",WHITE HISPANIC,NERVOUS - SWEATY
"2019-12178",BLACK,COMPLIANT
"2019-12179",WHITE HISPANIC,CALM
"2019-12180",BLACK,CALM
"2019-12181",BLACK,CALM
"2019-12182",WHITE,NERVOUS AND SWEATY
"2019-12183",BLACK,LAUGHING
"2019-12184",BLACK,CASUAL
"2019-12185",WHITE HISPANIC,CALM
"2019-12186",BLACK HISPANIC,CALM
"2019-12187",WHITE HISPANIC,UPSET
"2019-12188",BLACK,CALM AND RESPECTFUL
"2019-12189",BLACK,COMPLIANT
"2019-12190",WHITE HISPANIC,IRATE
"2019-12191",WHITE,IN PAIN
"2019-12192",BLACK,CALM
"2019-12193",WHITE HISPANIC,CALM
"2019-12194",WHITE HISPANIC,NERVOUS
"2019-12195",WHITE,CALM
"2019-12196",BLACK,UPSET
"2019-12197",WHITE,NERVOUS
"2019-12198",WHITE HISPANIC,UPSET
"2019-12199",BLACK,FRIENDLY
"2019-12200",ASIAN / PACIFIC ISLANDER,CALM AND QUIET
"2019-12201",WHITE,CALM AND QUIET
"2019-12202",BLACK,NERVOUS
"2019-12203",WHITE HISPANIC,NERVOUS
"2019-12204",WHITE,CALM
"2019-12205",WHITE HISPANIC,CALM
"2019-12206",WHITE HISPANIC,CALM
"2019-12207",BLACK,UNHAPPY
"2019-12208",WHITE,HAPPY
"2019-12209",ASIAN / PACIFIC ISLANDER,CALM
"2019-12210",WHITE,NERVOUS
